Area,Course,Date,Skills,Technology,Stars,Order,Cerificate,Instructor,Company,Theory,Practice,Total,Country
Data Science,Social Network Analysis with R,2017-05-10,Coding,R,,,Yes,Curt Frye,Linkedin,3.3,6.6,9.9,United Kingdown
Data Science,Learning Neo4j,2017-05-10,Data Management,Neo4j,,,Yes,Duane Nickull,Linkedin,3,6,9,United Kingdown
Data Science,Extending Hadoop for Data Science: Streaming Spark Storm and Kafka,2017-02-09,Coding,Spark,,,Yes,Lynn Langit,Linkedin,3,6,9,United Kingdown
Data Science,Master Data Science with R,2017-01-12,Coding,R,,,Yes,Minerva Singh,Udemy,24.5,49,73.5,United Kingdown
Data Science,The Complete Developers Guide to Mongo DB,2017-01-12,Data Management,Mongo DB,,,Yes,Stephen Grider,Udemy,13.5,27,40.5,United Kingdown
Data Science,Getting Started with Apache Cassandra,2017-01-12,Data Management,Apache Cassandra,,,Yes,Infinite Skills,Udemy,8,16,24,United Kingdown
Data Science,Computer Vision AZ   Open CV GUNS Cutting,2017-01-11,Artificial Inteligence,Python,,,Yes,Kiril Eremenko & Hadelin de Ponteves,Super Data Science,5.5,11,16.5,United States
Data Science,Advanced R,2017-01-11,Coding,R,,,Yes,Franscisco Juretig,Udemy,5.5,11,16.5,United Kingdown
Information technology,Machine Trading Analysis with R,2017-01-11,Quant Finances,R,,,Yes,Diego Rodrigues,Udemy,5.5,11,16.5,United Kingdown
Data Science,Case Studies With Data Mining with R,2017-01-11,Data Management,R,,,Yes,Geoffrey Hubona,Udemy,5.5,11,16.5,United Kingdown
Information technology,Pair Trading Analysis with R,2017-01-11,Quant Finances,R,,,Yes,Diego Rodrigues,Udemy,5.5,11,16.5,United Kingdown
Information technology,Volatility Trading Analysis with R,2017-01-11,Quant Finances,R,,,Yes,Diego Rodrigues,Udemy,5.5,11,16.5,United Kingdown
Data Science,The Ultimate hands on hadoop  Tame your BigData,2017-01-10,Coding,Spark,,,Yes,Frank Kane,Udemy,14.5,29,43.5,United States
Data Science,Tableau 10 Advanced Training,2017-01-09,Visualization,Tableau,,,Yes,Kiril Eremenko,Super Data Science,9,18,27,United States
Data Science,Artificial Inteligence AZ,2017-01-09,Artificial Inteligence,Python,,,Yes,Kiril Eremenko Hadelin de Ponteves,Super Data Science,16.5,33,49.5,United States
Data Science,Elasticsearch 5 and Elastic Stack,2017-01-09,Data Management,Elasticsearch,,,Yes,Diego Rodrigues,Udemy,8,16,24,United States
Data Science,Tableau 10 AZ,2017-01-08,Visualization,Tableau,,,Yes,Kiril Eremenko,Super Data Science,7.5,15,22.5,United States
Business,Hypnoteraphy Certification Course,2017-01-08,Health,Concepts,,,Yes,Kain Ramsey Steven Burns  ,Udemy,14,0,14,United States
Data Science,Advanced AI  Deep Reinforcement Learning in Python,2017-01-07,Artificial Inteligence,Python,,,Yes,Lazy Programmer,Udemy,4.5,9,13.5,United States
Information technology,Stock Technical Analysis with R,2017-01-07,Quant Finances,R,,,Yes,Diego Rodrigues,Udemy,7,14,21,United States
Data Science,Forecasting Models with R,2017-01-07,Coding,R,,,Yes,Diego Rodrigues,Udemy,6.5,13,19.5,United States
Information technology,Quantitative Trading Analysis with R,2017-01-07,Quant Finances,R,,,Yes,Diego Rodrigues,Udemy,7.5,15,22.5,United States
Business,Self Hypnosis and Deep Meditattion,2017-01-07,Health,Concepts,,,Yes,Irina Furin,Udemy,4.5,0,4.5,United States
Data Science,R Programing AZ,2017-01-06,Coding,R,,,Yes,Kiril Eremenko Hadelin de Ponteves,Super Data Science,10.5,21,31.5,United States
Data Science,Statistics for Business Analytics AZ,2017-01-06,Statistics,R,,,Yes,Kiril Eremenko,Super Data Science,7,14,21,United States
Information technology,Block Chain Technology : A guide to the Block Chain,2017-01-06,Blockchain,Concepts,,,Yes,Ravinder Deol,Udemy,1,0,1,United States
Business,Stock Traiding with Technical Analysis  Traiding Analysis,2017-01-06,Finances,Concepts,,,Yes,Nrupen Nasram,Udemy,7,0,7,United States
Business,Facebook Marketing Step by Step,2017-01-06,Marketing,Concepts,,,Yes,Benjamin Wilson,Udemy,1,0,1,United Kingdown
Data Science,Deep Learning AZ  Python,2017-01-05,Artificial Inteligence,Python,,,Yes,Kiril Eremenko Hadelin de Ponteves,Super Data Science,22,44,66,United States
Data Science,Machine Learning AZ      Python R,2017-01-05,Coding,R,,,Yes,Kiril Eremenko Hadelin de Ponteves,Super Data Science,41,82,123,United States
Data Science,R Real World Datamining with R,2017-01-05,Coding,R,,,Yes,Geoffrey Hubona Ph.D.,Udemy,7,14,21,United States
Data Science,Practical Data Science Analysing Stock Market Data ,2017-01-05,Coding,R,,,Yes,Manuel Amunateguy,Udemy,4,8,12,United States
Data Science,Taming Big Data with Spark Streaming and Scala Hands on,2017-01-01,Coding,Scala,,,Yes,Frank Kane,Udemy,24,48,72,United States
Data Science,Big Data and Hadoop Essentials,2017-01-01,Coding,Spark,,,Yes,Nitesh Jain,Udemy,8,16,24,United States
Data Science,Supercharge R with Spark R ,2017-01-01,Coding,Spark,,,Yes,Manuel Amunateguy,Udemy,24,48,72,United States
Data Science,Architecting Big Data Solutions,2017-01-01,Coding,Spark,,,Yes,V2 Maestro,Udemy,24,48,72,United States
Data Science,Apache Spark 2.0 with Scala Hands on Big Data,2017-01-01,Coding,Scala,,,Yes,Frank kane,Udemy,24,48,72,United States
Data Science,New Business Markets in the Internet of Things,2017-01-01,IOT,Concepts,,,Yes,Ayora Berry,Udemy,8,16,24,United States
Project Management,Managing Conflict,2016-09-05,Team Building,Practitioner,,,Yes,Fred Kofman,Linkedin,1,0,1,United States
Data Science,Introdution to Data Analysis with Python,2016-09-05,Coding,Python,,,Yes,Michele Valisneri,Linkedin,2,4,6,United States
Data Science,Big Data and Hadoop,2016-05-03,Coding,Spark,,,Yes,Chaitam,Edureka,70,0,70,India
Business,Viral Marketing Crafting Shareable Content,2016-01-25,Marketing,Concepts,,,Yes,Jonah Berger,Linkedin,1,0,1,United States
