group,subgroup,subject,tool,language ,course,date,stars,cerificate,instructor,company,theory,practice,total,country
Information Technology,Artificial Inteligence,Analytics,Language,Python,Big Data and Social Analytics ,2016-01-09,5,Yes,Alex Pentland,MIT  Massachusets Institute of Tecnology,96,192,288,United States
Information Technology,Artificial Inteligence,Data,Kafka,,Apache Kafka for Beginners,2018-02-01,5,Yes,Stephane Maarek,Udemy,4,8,12,United Kingdown
Information Technology,Artificial Inteligence,Data,Neo4J,,Learning Neo4j,2017-05-10,5,Yes,Duane Nickull,Linkedin,3,6,9,United Kingdown
Information Technology,Artificial Inteligence,Data,NIFI,,Apache NIFI,2018-05-01,5,Yes,Stephane Maarek,Udemy,4,8,12,United Kingdown
Information Technology,Artificial Inteligence,Data,Language,R,Import Data in R (Part1),2013-11-15,5,Yes,Filip Schouwenaars,Data Camp,3,6,9,Belgium
Information Technology,Software Development,IOT,,,New Business Markets in the Internet of Things,2017-01-01,5,Yes,Ayora Berry,Udemy,8,16,24,United States
Information Technology,Artificial Inteligence,Machine Learning,Apache Spark,R,Supercharge R with Spark R ,2017-01-01,5,Yes,Manuel Amunateguy,Udemy,24,48,72,United States
Information Technology,Artificial Inteligence,Machine Learning,QGIS,,Machine Learning in GIS: Understanding the Theory and Practice,2024-09-01,5,Yes,Kate Alison,Udemy,6,6,12,United Kingdown
Information Technology,Artificial Inteligence,Machine Learning,Apache Spark,Scala,Apache Spark 2.0 with Scala Hands on Big Data,2017-01-01,5,Yes,Frank kane,Udemy,24,48,72,United States
Information Technology,Artificial Inteligence,Machine Learning,Apache Spark,Scala,Taming Big Data with Spark Streaming and Scala Hands on,2017-01-01,5,Yes,Frank Kane,Udemy,24,48,72,United States
Information Technology,Artificial Inteligence,Machine Learning,Apache Spark,Scala,Spark and Scala,2016-01-12,5,Yes,Jismi,Edureka,70,80,150,India
Information Technology,Artificial Inteligence,Machine Learning,Apache Spark,Spark,Apache Spark Essential Training  Data Engineering,2018-03-21,5,Yes,Kumaran Ponnambalam,Linkedin,1,3,4,United Kingdown
Information Technology,Artificial Inteligence,Machine Learning,Apache Spark,Spark,Apache Essentials,2018-03-20,5,Yes,Ben Sullins,Linkedin,1,2,3,United Kingdown
Information Technology,Artificial Inteligence,Machine Learning,Apache Spark,Spark,Spark for Machine Learning & AI,2018-01-07,5,Yes,Dan Sullivan,Linkedin,4,0,4,United Kingdown
