Area,Course,Date,Skills,Technology,Group,Stars,Order,Cerificate,Instructor,Company,Theory,Practice,Total,Country
Data Science,Descriptive Healthcare Analitics with R,07/01/2018,Coding,R,Software,,,Yes,Monica Wari,Linkedin,6,0,6,United Kingdown
Data Science,Learning the R Tidyverse,07/01/2018,Coding,R,Software,,,Yes,Martin John Hadley,Linkedin,4,0,4,United Kingdown
Data Science,Spark for Machine Learning & AI,07/01/2018,Coding,Spark,Software,,,Yes,Dan Sullivan,Linkedin,4,0,4,United Kingdown
Data Science,Data Science foundation Fundamentals,07/01/2018,Data Management,Concepts,,,,Yes,Barton Poulson,Linkedin,4,0,4,United Kingdown
IT Governance,Learning Data Governance,07/01/2018,Data Management,Data,,,,Yes,Jonathan Reichental,Linkedin,1,0,1,United Kingdown
Information technology,Introduction to SAP Business One,07/01/2018,ERP,SAP,Packages,,,Yes,Sara Araby,Udemy,7,0,7,United States
Information technology,SAP HANNA Implementation Modeling and Reporting,07/01/2018,ERP,SAP,Packages,,,Yes,Junaid Ahmed,Udemy,25,0,25,United States
Business,Top 10 Marketing Challenges,06/01/2018,Marketing,Concepts,,,,Yes,Drew Boyd,Linkedin,3,0,3,United Kingdown
Information technology,Investiment Portfolio Analysis,06/01/2018,Quant Finances,R,Software,,5,Yes,Diego Rodrigues,Udemy,6.5,12,18.5,United Kingdown
Data Science,Learn by Example Statistics and Data Science in R,05/01/2018,Statistics,R,Software,,,Yes,Janani Vitthal,Udemy,9,3,12,United Kingdown
Information technology,Amazon AWS Associate Solution Architect ,05/01/2018,Cloud computing,AWS,Infrastructure,,7,Yes,Ryan Kroonenberg,Udemy,21,10,31,United Kingdown
Information technology,Linux,04/01/2018,Operational Systems,Linux,Infrastructure,,,Yes,Jason Cannon,Linkedin,12.5,25,37.5,United States
Data Science,Social Network Analysis with R,10/05/2017,Coding,R,Software,,,Yes,Curt Frye,Linkedin,3.3,6.6,9.9,United Kingdown
Data Science,Learning Neo4j,10/05/2017,Data Management,Neo4j,DataBase,,,Yes,Duane Nickull,Linkedin,3,6,9,United Kingdown
Data Science,Extending Hadoop for Data Science: Streaming Spark Storm and Kafka,09/02/2017,Coding,Spark,Software,,,Yes,Lynn Langit,Linkedin,3,6,9,United Kingdown
Data Science,Master Data Science with R,12/01/2017,Coding,R,Software,,,Yes,Minerva Singh,Udemy,24.5,49,73.5,United Kingdown
Data Science,Getting Started with Apache Cassandra,12/01/2017,Data Management,Apache Cassandra,DataBase,,,Yes,Infinite Skills,Udemy,8,16,24,United Kingdown
Data Science,The Complete Developers Guide to Mongo DB,12/01/2017,Data Management,Mongo DB,DataBase,,,Yes,Stephen Grider,Udemy,13.5,27,40.5,United Kingdown
Data Science,Computer Vision AZ   Open CV GUNS Cutting,11/01/2017,Artificial Inteligence,Python,Software,,3,Yes,Kiril Eremenko & Hadelin de Ponteves,Super Data Science,5.5,11,16.5,United States
Information technology,Advanced R,11/01/2017,Coding,R,Software,,,Yes,Franscisco Juretig,Udemy,5.5,11,16.5,United Kingdown
Data Science,Case Studies With Data Mining with R,11/01/2017,Coding,R,Software,,,Yes,Geoffrey Hubona,Udemy,5.5,11,16.5,United Kingdown
Information technology,Machine Trading Analysis with R,11/01/2017,Quant Finances,R,Software,,2,Yes,Diego Rodrigues,Udemy,5.5,11,16.5,United Kingdown
Information technology,Pair Trading Analysis with R,11/01/2017,Quant Finances,R,Software,,7,Yes,Diego Rodrigues,Udemy,5.5,11,16.5,United Kingdown
Information technology,Volatility Trading Analysis with R,11/01/2017,Quant Finances,R,Software,,8,Yes,Diego Rodrigues,Udemy,5.5,11,16.5,United Kingdown
Data Science,The Ultimate hands on hadoop  Tame your BigData,10/01/2017,Coding,Spark,Software,,,Yes,Frank Kane,Udemy,14.5,29,43.5,United States
Data Science,Artificial Inteligence AZ,09/01/2017,Artificial Inteligence,Python,Software,,2,Yes,Kiril Eremenko Hadelin de Ponteves,Super Data Science,16.5,33,49.5,United States
Data Science,Elasticsearch 5 and Elastic Stack,09/01/2017,Data Management,Elasticsearch,Infrastructure,,,Yes,Diego Rodrigues,Udemy,8,16,24,United States
Data Science,Tableau 10 Advanced Training,09/01/2017,Data Management,Tableau,Software,,,Yes,Kiril Eremenko,Super Data Science,9,18,27,United States
Business,Hypnoteraphy Certification Course,08/01/2017,Health,Concepts,,,,Yes,Kain Ramsey Steven Burns  ,Udemy,14,0,14,United States
Data Science,Tableau 10 AZ,08/01/2017,Data Management,Tableau,Software,,,Yes,Kiril Eremenko,Super Data Science,7.5,15,22.5,United States
Business,Self Hypnosis and Deep Meditattion,07/01/2017,Health,Concepts,,,,Yes,Irina Furin,Udemy,4.5,0,4.5,United States
Data Science,Advanced AI  Deep Reinforcement Learning in Python,07/01/2017,Artificial Inteligence,Python,Software,,1,Yes,Lazy Programmer,Udemy,4.5,9,13.5,United States
Data Science,Forecasting Models with R,07/01/2017,Coding,R,Software,,,Yes,Diego Rodrigues,Udemy,6.5,13,19.5,United States
Information technology,Quantitative Trading Analysis with R,07/01/2017,Quant Finances,R,Software,,9,Yes,Diego Rodrigues,Udemy,7.5,15,22.5,United States
